Day No,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,Date,Day,Attendance,Reason,,,,,,,,,
1,3/28/22,Mon,1,.,3/30/22,Wed,1,.,10/17/22,Mon,1,.,1/24/23,Tue,1,.,12/19/22,Mon,4,C,12/22/22,Thu,2,C,1/6/23,Fri,1,.,12/22/22,Thu,1,.,1/17/23,Tue,1,.,1/6/23,Fri,1,.,1/18/23,Wed,1,.,1/5/23,Thu,1,.,1/26/23,Thu,1,.,1/24/23,Tue,1,.,1/24/23,Tue,1,.,2/10/23,Fri,1,.,3/1/23,Wed,1,.,3/8/23,Wed,1,.,3/14/23,Tue,3,L,4/13/23,Thu,1,.,,,,,,,,,
2,3/29/22,Tue,4,C,3/31/22,Thu,1,.,10/18/22,Tue,3,B,1/25/23,Wed,1,.,12/20/22,Tue,1,.,1/3/23,Tue,2,C,1/9/23,Mon,2,I,1/3/23,Tue,1,.,1/18/23,Wed,1,.,1/9/23,Mon,1,.,1/19/23,Thu,1,.,1/6/23,Fri,1,.,1/30/23,Mon,3,E,1/25/23,Wed,1,.,1/25/23,Wed,1,.,2/13/23,Mon,1,.,3/2/23,Thu,1,.,3/9/23,Thu,1,.,3/17/23,Fri,4,C,4/14/23,Fri,1,.,,,,,,,,,
3,3/30/22,Wed,1,.,4/1/22,Fri,4,B,10/19/22,Wed,1,.,1/30/23,Mon,1,.,12/21/22,Wed,4,C,1/4/23,Wed,3,C(/L),1/10/23,Tue,1,.,1/4/23,Wed,1,.,1/19/23,Thu,3,A,1/10/23,Tue,1,.,1/20/23,Fri,1,.,1/9/23,Mon,1,.,1/31/23,Tue,3,B,1/26/23,Thu,1,.,1/26/23,Thu,1,.,2/14/23,Tue,4,H,3/3/23,Fri,2,I,3/10/23,Fri,1,.,3/20/23,Mon,4,C,4/17/23,Mon,3,B,,,,,,,,,
4,3/31/22,Thu,1,.,4/4/22,Mon,1,.,10/20/22,Thu,1,.,1/31/23,Tue,3,B,12/22/22,Thu,1,.,1/5/23,Thu,2,C,1/11/23,Wed,1,.,1/5/23,Thu,1,.,1/20/23,Fri,1,.,1/11/23,Wed,4,C(/E),1/23/23,Mon,4,B,1/10/23,Tue,1,.,2/1/23,Wed,2,B,1/27/23,Fri,1,.,1/27/23,Fri,1,.,2/15/23,Wed,4,H,3/6/23,Mon,1,.,3/13/23,Mon,4,E,3/21/23,Tue,2,C,4/18/23,Tue,1,.,,,,,,,,,
5,4/1/22,Fri,4,C,4/5/22,Tue,3,B,10/21/22,Fri,1,.,2/1/23,Wed,4,B,12/23/22,Fri,1,.,1/6/23,Fri,4,A then C,1/12/23,Thu,1,.,1/6/23,Fri,4,O,1/24/23,Tue,1,.,1/12/23,Thu,1,.,1/24/23,Tue,1,.,1/11/23,Wed,1,.,2/2/23,Thu,3,E,1/30/23,Mon,1,.,1/30/23,Mon,1,.,2/16/23,Thu,4,H,3/7/23,Tue,1,.,3/14/23,Tue,1,.,3/22/23,Wed,1,.,4/19/23,Wed,1,.,,,,,,,,,
6,4/4/22,Mon,1,.,4/6/22,Wed,1,.,10/24/22,Mon,1,.,2/2/23,Thu,4,B,1/9/23,Mon,1,.,1/9/23,Mon,3,C(/L),1/13/23,Fri,2,I,1/9/23,Mon,1,.,1/25/23,Wed,1,.,1/13/23,Fri,1,.,1/25/23,Wed,1,.,1/12/23,Thu,1,.,2/6/23,Mon,3,"E, then B",1/31/23,Tue,1,.,1/31/23,Tue,1,.,2/21/23,Tue,1,.,3/8/23,Wed,1,.,3/15/23,Wed,1,.,3/23/23,Thu,2,C,4/20/23,Thu,1,.,,,,,,,,,
7,4/5/22,Tue,1,.,4/7/22,Thu,1,.,10/25/22,Tue,1,.,2/3/23,Fri,4,B,1/10/23,Tue,1,.,1/10/23,Tue,2,C,1/17/23,Tue,1,.,1/10/23,Tue,1,.,1/26/23,Thu,1,.,1/19/23,Thu,1,.,1/26/23,Thu,1,.,1/13/23,Fri,1,.,2/7/23,Tue,1,.,2/1/23,Wed,1,.,2/1/23,Wed,1,.,2/22/23,Wed,1,.,3/9/23,Thu,2,C,3/16/23,Thu,1,.,3/24/23,Fri,1,.,4/21/23,Fri,1,.,,,,,,,,,
8,4/6/22,Wed,1,.,4/8/22,Fri,1,.,10/26/22,Wed,1,.,2/6/23,Mon,1,.,1/11/23,Wed,1,.,1/11/23,Wed,3,C(/L),1/18/23,Wed,1,.,1/11/23,Wed,4,C,1/27/23,Fri,1,.,1/20/23,Fri,1,.,1/27/23,Fri,1,.,1/17/23,Tue,1,.,2/8/23,Wed,2,B,2/2/23,Thu,1,.,2/2/23,Thu,1,.,2/23/23,Thu,1,.,3/10/23,Fri,2,I,3/20/23,Mon,1,.,4/3/23,Mon,1,.,4/24/23,Mon,1,.,,,,,,,,,
9,4/7/22,Thu,4,C,4/18/22,Mon,1,.,10/27/22,Thu,1,.,2/7/23,Tue,1,.,1/12/23,Thu,1,.,1/12/23,Thu,2,C,1/19/23,Thu,1,.,1/12/23,Thu,1,.,1/30/23,Mon,1,.,1/23/23,Mon,1,.,1/30/23,Mon,1,.,1/18/23,Wed,1,.,2/9/23,Thu,1,.,2/3/23,Fri,1,.,2/3/23,Fri,1,.,2/24/23,Fri,1,.,3/20/23,Mon,1,.,3/21/23,Tue,1,.,4/4/23,Tue,2,C,4/25/23,Tue,1,.,,,,,,,,,
10,4/8/22,Fri,1,.,4/19/22,Tue,1,.,10/28/22,Fri,1,.,2/8/23,Wed,1,.,1/13/23,Fri,4,C,1/13/23,Fri,1,.,1/20/23,Fri,1,.,1/13/23,Fri,1,.,1/31/23,Tue,1,.,1/24/23,Tue,1,.,1/31/23,Tue,1,.,1/19/23,Thu,1,.,2/13/23,Mon,3,"B, then E",2/6/23,Mon,1,.,2/6/23,Mon,1,.,2/27/23,Mon,1,.,3/21/23,Tue,2,I,3/22/23,Wed,1,.,4/5/23,Wed,2,C,4/26/23,Wed,1,.,,,,,,,,,
11,4/18/22,Mon,1,.,4/20/22,Wed,1,.,10/31/22,Mon,1,.,2/9/23,Thu,1,.,1/16/23,Mon,1,.,1/16/23,Mon,3,C(/L),1/23/23,Mon,2,I,1/16/23,Mon,1,.,2/1/23,Wed,1,.,1/25/23,Wed,,.,2/1/23,Wed,1,.,1/20/23,Fri,1,.,2/14/23,Tue,2,E,2/7/23,Tue,1,.,2/7/23,Tue,1,.,2/28/23,Tue,1,.,3/22/23,Wed,1,.,3/23/23,Thu,1,.,4/6/23,Thu,2,I,4/27/23,Thu,1,.,,,,,,,,,
12,4/19/22,Tue,1,.,4/21/22,Thu,1,.,11/1/22,Tue,1,.,2/10/23,Fri,3,L,1/17/23,Tue,4,C,1/17/23,Tue,2,C,1/24/23,Tue,1,.,1/17/23,Tue,1,.,2/2/23,Thu,1,.,1/26/23,Thu,1,.,2/2/23,Thu,1,.,1/23/23,Mon,1,.,2/15/23,Wed,2,B,2/8/23,Wed,1,.,2/8/23,Wed,1,.,3/1/23,Wed,1,.,3/23/23,Thu,1,.,3/24/23,Fri,1,.,4/10/23,Mon,1,.,4/28/23,Fri,1,.,,,,,,,,,
13,4/20/22,Wed,1,.,4/22/22,Fri,1,.,11/2/22,Wed,1,.,2/13/23,Mon,1,.,1/18/23,Wed,1,.,1/18/23,Wed,2,C,1/25/23,Wed,1,.,1/18/23,Wed,1,.,2/3/23,Fri,1,.,1/27/23,Fri,3,A,2/3/23,Fri,1,.,1/24/23,Tue,1,.,2/16/23,Thu,2,I,2/9/23,Thu,1,.,2/9/23,Thu,1,.,3/2/23,Thu,1,.,3/24/23,Fri,1,.,3/27/23,Mon,1,.,4/11/23,Tue,1,.,5/1/23,Mon,1,.,,,,,,,,,
14,4/21/22,Thu,1,.,4/25/22,Mon,1,.,11/3/22,Thu,1,.,2/14/23,Tue,1,.,1/19/23,Thu,1,.,1/19/23,Thu,2,C,1/26/23,Thu,1,.,1/19/23,Thu,4,A,2/6/23,Mon,1,.,1/30/23,Mon,1,.,2/6/23,Mon,1,.,1/25/23,Wed,1,.,2/20/23,Mon,1,.,2/10/23,Fri,1,.,2/10/23,Fri,1,.,3/3/23,Fri,4,B,3/27/23,Mon,1,.,3/28/23,Tue,1,.,4/12/23,Wed,2,C,5/2/23,Tue,4,B,,,,,,,,,
15,4/22/22,Fri,1,.,4/26/22,Tue,1,.,11/4/22,Fri,1,.,2/15/23,Wed,1,.,1/20/23,Fri,1,.,1/20/23,Fri,1,.,1/27/23,Fri,1,.,1/20/23,Fri,4,O,2/7/23,Tue,1,.,1/31/23,Tue,1,.,2/7/23,Tue,1,.,1/26/23,Thu,1,.,2/21/23,Tue,1,.,2/13/23,Mon,1,.,2/13/23,Mon,1,.,3/6/23,Mon,4,B,3/28/23,Tue,1,.,3/29/23,Wed,1,.,4/13/23,Thu,2,C,5/3/23,Wed,1,.,,,,,,,,,
16,4/25/22,Mon,1,.,4/27/22,Wed,1,.,11/7/22,Mon,1,.,2/16/23,Thu,1,.,1/23/23,Mon,1,.,1/23/23,Mon,1,.,1/30/23,Mon,1,.,1/23/23,Mon,1,.,2/8/23,Wed,1,.,2/1/23,Wed,,.,2/8/23,Wed,1,.,1/30/23,Mon,1,.,2/22/23,Wed,2,B,2/14/23,Tue,1,.,2/14/23,Tue,1,.,3/7/23,Tue,4,B,3/29/23,Wed,1,.,3/30/23,Thu,4,E,4/14/23,Fri,1,.,5/4/23,Thu,4,B,,,,,,,,,
17,4/26/22,Tue,2,M,4/28/22,Thu,1,.,11/8/22,Tue,1,.,2/17/23,Fri,4,E,1/24/23,Tue,1,.,1/24/23,Tue,2,C,1/31/23,Tue,1,.,1/24/23,Tue,1,.,2/9/23,Thu,2,A,2/2/23,Thu,1,.,2/9/23,Thu,1,.,1/31/23,Tue,1,.,2/23/23,Thu,2,B,2/15/23,Wed,1,.,2/15/23,Wed,1,.,3/9/23,Thu,1,.,3/30/23,Thu,1,.,3/31/23,Fri,1,.,4/17/23,Mon,1,.,5/5/23,Fri,4,B,,,,,,,,,
18,4/27/22,Wed,2,M,4/29/22,Fri,1,.,11/9/22,Wed,1,.,2/20/23,Mon,1,.,1/25/23,Wed,1,.,1/25/23,Wed,1,.,2/1/23,Wed,1,.,1/25/23,Wed,1,.,2/13/23,Mon,1,.,2/3/23,Fri,1,.,2/10/23,Fri,4,F,2/1/23,Wed,1,.,2/27/23,Mon,1,.,2/16/23,Thu,3,A,2/21/23,Tue,4,C,3/10/23,Fri,1,.,3/31/23,Fri,4,L,4/10/23,Mon,1,.,4/18/23,Tue,2,C,5/8/23,Mon,1,.,,,,,,,,,
19,4/28/22,Thu,1,.,5/2/22,Mon,1,.,11/10/22,Thu,1,.,2/21/23,Tue,1,.,1/26/23,Thu,4,B,1/26/23,Thu,2,C,2/2/23,Thu,1,.,1/26/23,Thu,1,.,2/14/23,Tue,3,B,2/6/23,Mon,1,.,2/13/23,Mon,4,F,2/2/23,Thu,1,.,2/28/23,Tue,2,B,2/17/23,Fri,1,.,2/22/23,Wed,1,.,3/13/23,Mon,2,I,4/3/23,Mon,1,.,4/11/23,Tue,1,.,4/19/23,Wed,1,.,5/9/23,Tue,1,.,,,,,,,,,
20,4/29/22,Fri,1,.,5/3/22,Tue,1,.,11/11/22,Fri,1,.,2/22/23,Wed,1,.,1/27/23,Fri,4,B,1/27/23,Fri,1,.,2/3/23,Fri,1,.,1/27/23,Fri,1,.,2/15/23,Wed,2,A,2/7/23,Tue,1,.,2/14/23,Tue,4,F,2/3/23,Fri,1,.,3/1/23,Wed,2,B,2/20/23,Mon,1,.,2/23/23,Thu,1,.,3/14/23,Tue,1,.,4/25/23,Tue,1,.,4/12/23,Wed,1,.,4/20/23,Thu,1,.,5/10/23,Wed,1,.,,,,,,,,,
21,05-02-2022,Mon,1,.,05-05-2022,Thu,1,.,11-14-2022,Mon,1,.,2-27-2023,Mon,1,.,01-30-2023,Mon,4,B,01-30-2023,Mon,2,O,02-06-2023,Mon,1,.,01-30-2023,Mon,1,.,02-16-2023,Thu,,.,02-09-2023,Thu,1,.,02-28-2023,Tue,1,.,02-14-2023,Tue,1,.,03-06-2023,Mon,1,.,2/21/23,Tue,1,.,03-01-2023,Wed,1,.,03-15-2023,Wed,1,.,04-05-2023,Wed,1,.,04-17-2023,Mon,1,.,04-24-2023,Mon,1,.,05-11-2023,Thu,1,.,,,,,,,,,
22,05-03-2022,Tue,1,.,05-06-2022,Fri,1,.,11-15-2022,Tue,1,.,2-28-2023,Tue,1,.,01-31-2023,Tue,1,.,01-31-2023,Tue,1,.,02-07-2023,Tue,1,.,01-31-2023,Tue,1,.,02-17-2023,Fri,1,.,02-10-2023,Fri,1,.,03-01-2023,Wed,1,.,02-15-2023,Wed,1,.,03-07-2023,Tue,1,.,2/22/23,Wed,1,.,03-02-2023,Thu,1,.,03-16-2023,Thu,1,.,04-06-2023,Thu,1,.,04-18-2023,Tue,1,.,04-25-2023,Tue,2,C,05-12-2023,Fri,1,.,,,,,,,,,
23,05-04-2022,Wed,1,.,05-09-2022,Mon,1,.,11-16-2022,Wed,1,.,3-1-2023,Wed,1,.,02-01-2023,Wed,4,C,02-01-2023,Wed,2,C,02-08-2023,Wed,1,.,02-01-2023,Wed,1,.,02-20-2023,Mon,1,.,02-13-2023,Mon,1,.,03-02-2023,Thu,1,.,02-16-2023,Thu,4,E,03-08-2023,Wed,2,B,2/23/23,Thu,1,.,03-03-2023,Fri,1,.,03-17-2023,Fri,1,.,04-11-2023,Tue,1,.,04-19-2023,Wed,1,.,04-26-2023,Wed,1,.,05-15-2023,Mon,1,.,,,,,,,,,
24,05-05-2022,Thu,1,.,05-10-2022,Tue,1,.,11-17-2022,Thu,1,.,3-2-2023,Thu,1,.,02-02-2023,Thu,1,.,02-02-2023,Thu,3,C,02-09-2023,Thu,1,.,02-02-2023,Thu,1,.,02-21-2023,Tue,1,.,02-14-2023,Tue,1,.,03-03-2023,Fri,1,.,02-17-2023,Fri,1,.,03-09-2023,Thu,2,B,2/24/23,Fri,1,.,03-06-2023,Mon,1,.,03-20-2023,Mon,1,.,04-12-2023,Wed,1,.,04-20-2023,Thu,1,.,04-27-2023,Thu,1,.,05-16-2023,Tue,1,.,,,,,,,,,
25,05-06-2022,Fri,1,.,05-11-2022,Wed,1,.,11-18-2022,Fri,1,.,3-3-2023,Fri,1,.,02-03-2023,Fri,2,C,02-03-2023,Fri,4,C,02-10-2023,Fri,1,.,02-03-2023,Fri,1,.,02-22-2023,Wed,,.,02-15-2023,Wed,1,.,03-06-2023,Mon,1,.,02-21-2023,Tue,1,.,03-13-2023,Mon,3,C,2/27/23,Mon,1,.,03-07-2023,Tue,1,.,03-21-2023,Tue,1,.,04-13-2023,Thu,2,I,04-21-2023,Fri,1,.,04-28-2023,Fri,3,A,05-17-2023,Wed,1,.,,,,,,,,,
26,05-09-2022,Mon,1,.,05-12-2022,Thu,1,.,11-21-2022,Mon,1,.,03-06-2023,Mon,1,.,02-06-2023,Mon,1,.,02-06-2023,Mon,1,.,02-13-2023,Mon,1,.,02-06-2023,Mon,4,B,02-23-2023,Thu,3,A,02-16-2023,Thu,1,.,03-07-2023,Tue,1,.,02-22-2023,Wed,1,.,03-14-2023,Tue,2,B,2/28/23,Tue,1,.,03-08-2023,Wed,1,.,03-22-2023,Wed,1,.,04-14-2023,Fri,1,.,04-24-2023,Mon,1,.,05-01-2023,Mon,1,.,05-18-2023,Thu,1,.,,,,,,,,,
27,05-10-2022,Tue,1,.,05-13-2022,Fri,1,.,11-22-2022,Tue,2,A,03-07-2023,Tue,1,.,02-07-2023,Tue,1,.,02-07-2023,Tue,4,C,02-14-2023,Tue,1,.,02-07-2023,Tue,1,.,02-24-2023,Fri,1,.,02-17-2023,Fri,,.,03-08-2023,Wed,1,.,02-23-2023,Thu,,.,03-15-2023,Wed,2,B,3/1/23,Wed,1,.,03-09-2023,Thu,1,.,03-23-2023,Thu,1,.,04-17-2023,Mon,3,A,04-25-2023,Tue,1,.,05-04-2023,Thu,1,.,05-19-2023,Fri,1,.,,,,,,,,,
28,05-11-2022,Wed,1,.,05-16-2022,Mon,1,.,11-28-2022,Mon,1,.,03-08-2023,Wed,1,.,02-08-2023,Wed,4,O,02-08-2023,Wed,2,C,02-15-2023,Wed,1,.,02-08-2023,Wed,1,.,02-27-2023,Mon,1,.,02-21-2023,Tue,1,.,03-09-2023,Thu,1,.,02-24-2023,Fri,,.,03-16-2023,Thu,2,B,3/2/23,Thu,1,.,03-10-2023,Fri,1,.,03-24-2023,Fri,1,.,04-18-2023,Tue,1,.,04-26-2023,Wed,1,.,05-05-2023,Fri,2,C,05-22-2023,Mon,1,.,,,,,,,,,
29,05-12-2022,Thu,1,.,05-17-2022,Tue,1,.,11-29-2022,Tue,1,.,03-09-2023,Thu,1,.,02-09-2023,Thu,1,.,02-09-2023,Thu,1,.,02-16-2023,Thu,1,.,02-09-2023,Thu,1,.,02-28-2023,Tue,1,.,02-22-2023,Wed,1,.,03-10-2023,Fri,,.,02-27-2023,Mon,1,.,03-21-2023,Tue,1,.,3/3/23,Fri,1,.,03-13-2023,Mon,1,.,03-27-2023,Mon,1,.,04-19-2023,Wed,1,.,04-27-2023,Thu,1,.,05-08-2023,Mon,4,C,05-23-2023,Tue,1,.,,,,,,,,,
30,05-13-2022,Fri,1,.,05-18-2022,Wed,1,.,11-30-2022,Wed,1,.,03-10-2023,Fri,3,O,02-10-2023,Fri,4,O,02-10-2023,Fri,2,C,02-21-2023,Tue,1,.,02-10-2023,Fri,1,.,03-01-2023,Wed,1,.,02-23-2023,Thu,1,.,03-13-2023,Mon,1,.,02-28-2023,Tue,1,.,04-03-2023,Mon,3,C,03-06-2023,Mon,1,.,03-14-2023,Tue,1,.,03-28-2023,Tue,1,.,04-20-2023,Thu,1,.,04-28-2023,Fri,1,.,05-09-2023,Tue,2,C,05-24-2023,Wed,1,.,,,,,,,,,
31,05-16-2022,Mon,1,.,05-19-2022,Thu,1,.,12-01-2022,Thu,4,B,03-13-2023,Mon,1,.,02-13-2023,Mon,4,O,02-13-2023,Mon,2,C,02-22-2023,Wed,1,.,02-13-2023,Mon,1,.,03-02-2023,Thu,1,.,02-24-2023,Fri,1,.,03-14-2023,Tue,1,.,03-01-2023,Wed,1,.,04-04-2023,Tue,1,.,03-07-2023,Tue,1,.,03-15-2023,Wed,1,.,3-30-2023,Thu,1,.,04-21-2023,Fri,1,.,05-01-2023,Mon,1,.,05-10-2023,Wed,1,.,05-25-2023,Thu,1,.,,,,,,,,,
32,05-17-2022,Tue,1,.,05-20-2022,Fri,1,.,12-02-2022,Fri,1,.,03-14-2023,Tue,1,.,02-14-2023,Tue,1,.,02-14-2023,Tue,2,C,02-23-2023,Thu,1,.,02-14-2023,Tue,1,.,03-03-2023,Fri,1,.,02-27-2023,Mon,1,.,03-15-2023,Wed,1,.,03-02-2023,Thu,1,.,04-05-2023,Wed,2,O,03-08-2023,Wed,1,.,03-16-2023,Thu,1,.,3-31-2023,Fri,1,.,04-24-2023,Mon,1,.,05-02-2023,Tue,1,.,05-11-2023,Thu,1,.,05-26-2023,,,.,,,,,,,,,
33,05-18-2022,Wed,1,.,05-23-2022,Mon,1,.,12-05-2022,Mon,1,.,03-15-2023,Wed,1,.,02-15-2023,Wed,4,O,02-15-2023,Wed,3,L,02-24-2023,Fri,1,.,02-15-2023,Wed,1,.,03-06-2023,Mon,1,.,03-01-2023,Wed,1,.,03-16-2023,Thu,1,.,03-03-2023,Fri,4,B,04-06-2023,Thu,4,B,03-09-2023,Thu,1,.,03-17-2023,Fri,1,.,04-03-2023,Mon,1,.,04-25-2023,Tue,1,.,05-03-2023,Wed,1,.,05-12-2023,Fri,1,.,05-27-2023,,,.,,,,,,,,,
34,05-19-2022,Thu,1,.,05-24-2022,Tue,1,.,12-06-2022,Tue,1,.,03-16-2023,Thu,1,.,02-16-2023,Thu,4,O,02-16-2023,Thu,4,C,02-27-2023,Mon,3,I,02-16-2023,Thu,1,.,03-07-2023,Tue,1,.,03-02-2023,Thu,1,.,03-20-2023,Mon,1,.,03-06-2023,Mon,2,H,04-11-2023,Tue,1,.,03-10-2023,Fri,1,.,03-20-2023,Mon,1,.,04-04-2023,Tue,1,.,04-26-2023,Wed,1,.,05-04-2023,Thu,1,.,05-15-2023,Mon,2,C,05-28-2023,,,.,,,,,,,,,
35,05-20-2022,Fri,1,.,05-26-2022,Thu,1,.,12-07-2022,Wed,1,.,03-17-2023,Fri,1,.,02-17-2023,Fri,1,.,02-17-2023,Fri,2,C,02-28-2023,Tue,1,.,02-17-2023,Fri,1,.,03-09-2023,Thu,1,.,03-03-2023,Fri,1,.,03-22-2023,Wed,1,.,03-07-2023,Tue,1,.,04-13-2023,Thu,3,I,03-13-2023,Mon,1,.,03-21-2023,Tue,1,.,04-05-2023,Wed,1,.,04-27-2023,Thu,3,A,05-05-2023,Fri,1,.,05-16-2023,Tue,2,C,05-29-2023,,,.,,,,,,,,,
36,05-23-2022,Mon,4,B,05-27-2022,Fri,1,.,12-08-2022,Thu,1,.,03-20-2023,Mon,1,.,02-21-2023,Tue,4,O,02-27-2023,Mon,2,C,03-01-2023,Wed,1,.,02-27-2023,Mon,1,.,03-10-2023,Fri,1,.,03-06-2023,Mon,1,.,03-23-2023,Thu,1,.,03-08-2023,Wed,1,.,04-17-2023,Mon,3,C,03-14-2023,Tue,1,.,03-22-2023,Wed,1,.,04-06-2023,Thu,1,.,04-28-2023,Fri,1,.,05-08-2023,Mon,1,.,05-17-2023,Wed,1,.,05-30-2023,,,.,,,,,,,,,
37,05-24-2022,Tue,4,B,05-31-2022,Tue,1,.,12-09-2022,Fri,1,.,03-21-2023,Tue,1,.,02-22-2023,Wed,1,.,02-28-2023,Tue,2,C,03-02-2023,Thu,1,.,02-28-2023,Tue,1,.,03-13-2023,Mon,1,.,03-07-2023,Tue,3,E,03-24-2023,Fri,4,B,03-13-2023,Mon,1,.,04-18-2023,Tue,1,.,03-15-2023,Wed,1,.,03-23-2023,Thu,1,.,04-17-2023,Mon,1,.,05-01-2023,Mon,1,.,05-09-2023,Tue,4,B,05-18-2023,Thu,4,L,05-31-2023,,,.,,,,,,,,,
38,05-25-2022,Wed,1,.,06-01-2022,Wed,1,.,12-12-2022,Mon,4,B,03-22-2023,Wed,1,.,02-23-2023,Thu,1,.,03-01-2023,Wed,1,.,03-03-2023,Fri,1,.,03-01-2023,Wed,1,.,03-14-2023,Tue,1,.,03-08-2023,Wed,,.,03-27-2023,Mon,4,B,03-14-2023,Tue,1,.,04-24-2023,Mon,1,.,03-16-2023,Thu,1,.,03-24-2023,Fri,1,.,04-18-2023,Tue,1,.,05-02-2023,Tue,1,.,05-10-2023,Wed,1,.,05-19-2023,Fri,2,C,06-01-2023,,,.,,,,,,,,,
39,05-26-2022,Thu,4,C,06-02-2022,Thu,1,.,12-13-2022,Tue,1,.,03-23-2023,Thu,1,.,02-24-2023,Fri,1,.,03-02-2023,Thu,1,.,03-06-2023,Mon,1,.,03-02-2023,Thu,1,.,03-15-2023,Wed,1,.,03-09-2023,Thu,1,.,03-28-2023,Tue,4,B,03-15-2023,Wed,1,.,04-25-2023,Tue,1,.,03-17-2023,Fri,1,.,03-27-2023,Mon,1,.,04-19-2023,Wed,1,.,05-03-2023,Wed,1,.,05-11-2023,Thu,4,E,05-22-2023,Mon,4,B,06-02-2023,,,.,,,,,,,,,
40,05-27-2022,Fri,4,E,06-03-2022,Fri,1,.,12-14-2022,Wed,1,.,03-24-2023,Fri,2,A,02-27-2023,Mon,1,.,03-03-2023,Fri,1,.,03-07-2023,Tue,1,.,03-03-2023,Fri,1,.,03-16-2023,Thu,1,.,03-10-2023,Fri,1,.,03-29-2023,Wed,4,B,03-16-2023,Thu,1,.,04-26-2023,Wed,2,C,3/20/23,Mon,1,.,03-28-2023,Tue,1,.,04-20-2023,Thu,1,.,05-04-2023,Thu,1,.,05-12-2023,.,.,.,05-25-2023,Thu,2,O,06-03-2023,,,.,,,,,,,,,